2026-06-25T13:12:14.930209,Anna,ADD_EVENT|2026-06-26|12:05|test3
2026-06-25T13:23:41.054731,Anna,REMOVE_EVENT|test3
2026-06-25T13:23:43.770527,Anna,REMOVE_EVENT|test1
2026-06-25T13:23:46.665446,Anna,REMOVE_EVENT|test2
2026-06-25T13:23:57.179503,Anna,REMOVE_EVENT|testEvent1
2026-06-25T13:23:59.339735,Anna,REMOVE_EVENT|test Event2
2026-06-25T13:30:17.622392,Anna,ADD_EVENT|2026-06-26|10:00|test1
2026-06-25T13:31:14.036357,Anna,EDIT_TOPIC|test1|dGVzdCB0b3BpYyA=
2026-06-25T13:31:26.396477,Anna,ADD_EVENT|2026-06-26|08:00|test2
2026-06-25T13:31:38.373806,Anna,EDIT_TOPIC|test2|dGVzdCB0b3BpYzI=
2026-06-25T13:35:10.598995,Anna,EDIT_TOPIC|test2|dGVzdCB0b3BpYw==
2026-06-25T13:42:55.287225,Anna,EDIT_TOPIC|test1|aGho
2026-06-25T13:47:27.410819,Anna,EDIT_TOPIC|test1|dGVzdCB0b3BpY2hoaGg=
2026-06-25T13:48:41.187567,Anna,EDIT_TOPIC|test1|dGVzdCB0b3BpYzI=
2026-06-25T14:00:50.929783,Anna,ADD_SONG|test1|great are you Lord|elevation worship
2026-06-25T14:01:38.606986,Anna,ADD_SONG|test1|king of kings|elevation worship
2026-06-25T14:01:55.675017,Anna,REMOVE_SONG|test1|great are you Lord
2026-06-25T14:01:55.676498,Anna,REMOVE_SONG|test1|king of kings
2026-06-25T14:07:31.481390,Anna,ADD_SONG|test1|some song|author
2026-06-25T14:09:05.157642,Anna,REMOVE_EVENT|test1
2026-06-25T14:21:51.746014,Anna,ADD_MEMBER|test2|Anna|keyboard
2026-06-25T14:22:07.338358,Anna,ADD_MEMBER|test2|Bekah|voice
2026-06-25T14:23:17.529507,Anna,ADD_MEMBER|test2|Drumer|drum
2026-06-25T14:23:46.296339,Anna,ADD_MEMBER|test2|guitar player1|guitar
2026-06-25T14:24:03.716780,Anna,ADD_MEMBER|test2|guitar player2|electric guitar
2026-06-25T14:28:39.558216,Anna,REMOVE_MEMBER|test2|guitar player2
2026-06-25T14:30:04.524198,Anna,REMOVE_MEMBER|test2|guitar player1
2026-06-25T14:30:54.250076,Anna,ADD_SONG|test2|king of kings|elevation worship|2026-06-26
2026-06-25T14:31:10.328958,Anna,EDIT_TOPIC|test2|ZXBoIDE6MTI=
2026-06-25T14:31:35.659363,Anna,EDIT_TOPIC|test2|Z3JlYXQgY3JlYXRvcg==
2026-06-25T14:32:10.019616,Anna,ADD_SONG|test2|praise|author|2026-06-26
2026-06-25T14:32:10.020985,Anna,ADD_SONG|test2|some song|author|2026-06-26
2026-06-25T14:47:10.775694,Anna,ADD_SONG|test2|song1|author|2026-06-26
2026-06-25T14:47:10.778631,Anna,ADD_SONG|test2|song 2|author|2026-06-26
2026-06-25T14:47:10.779804,Anna,ADD_SONG|test2|song 3|author|2026-06-26
2026-06-25T14:49:44.714495,Anna,ADD_SONG|test2|song1- author||2026-06-26
2026-06-25T14:49:44.718693,Anna,ADD_SONG|test2|song2- author||2026-06-26
2026-06-25T14:49:44.721148,Anna,ADD_SONG|test2|song 3- author||2026-06-26
2026-06-25T14:54:26.437685,Anna,ADD_SONG|test2|song 1- author||2026-06-26
2026-06-25T14:54:26.443578,Anna,ADD_SONG|test2|song2|author|2026-06-26
2026-06-25T14:54:26.445546,Anna,ADD_SONG|test2|song3|author|2026-06-26
2026-06-25T14:54:58.603534,Anna,REMOVE_SONG|test2|song 1- author by|2026-06-26
2026-06-25T14:54:58.605224,Anna,ADD_SONG|test2|song 1|author|2026-06-26
2026-06-25T14:55:12.840463,Anna,REMOVE_SONG|test2|song 1- author by|2026-06-26
2026-06-25T14:55:20.760198,Anna,REMOVE_SONG|test2|song 1- author by|2026-06-26
2026-06-25T14:59:25.811911,Anna,REMOVE_SONG|test2|song 1- author|2026-06-26
2026-06-25T15:00:09.310629,Anna,REMOVE_SONG|test2|song 1|2026-06-26
2026-06-25T15:00:09.313854,Anna,ADD_SONG|test2|song1|author|2026-06-26
2026-06-25T16:03:48.192353,Anna,ADD_EVENT|2026-06-26|09:00|eventtitle
2026-06-25T16:04:08.224664,Racheal,EDIT_TOPIC|eventtitle|dG9kYXkgaXMgYSBnb29kIGRheQ==
2026-06-25T16:04:22.816726,Racheal,ADD_MEMBER|eventtitle|Bekah|voice
